Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
14997857.txt	coronary artery	RID35862	RID35862		coronary/43, artery/52								
14997857.txt	coronary artery	RID28727	RID28727		coronary/43, artery/52								
14997857.txt	calcium scores	RID28808	RID28808		calcium/59, scores/67								
14997857.txt	asymptomatic	RID38811	RID38811		asymptomatic/93								
14997857.txt	white	RID39151	RID39151		white/106								
14997857.txt	assessment	RID36026	RID36026		assessment/137								
14997857.txt	computed tomography	RID10321	RID10321		computed/163, tomography/172								
14997857.txt	computed tomography	RID10321	RID10321		computed/242, tomography/251								
14997857.txt	calcium	RID11800	RID11800		calcium/312								
14997857.txt	groups	RID5700	RID5700		groups/354								
14997857.txt	mean	RID39224	RID39224		mean/467								
14997857.txt	deviation	RID10445	RID10445		deviation/485								
14997857.txt	coronary artery	RID35862	RID35862		coronary/549, artery/558								
14997857.txt	coronary artery	RID28727	RID28727		coronary/549, artery/558								
14997857.txt	calcium score	RID28808	RID28808		calcium/565, score/573								
14997857.txt	large	RID5778	RID5778		large/628								
14997857.txt	calcium scores	RID28808	RID28808		calcium/714, scores/722								
14997857.txt	groups	RID5700	RID5700		groups/795								
14997857.txt	median artery	RID45107	RID45107		median/884, artery/903								
14997857.txt	coronary artery	RID35862	RID35862		coronary/894, artery/903								
14997857.txt	coronary artery	RID28727	RID28727		coronary/894, artery/903								
14997857.txt	calcium scores	RID28808	RID28808		calcium/910, scores/918								
14997857.txt	Coronary artery	RID35862	RID35862		Coronary/939, artery/948								
14997857.txt	Coronary artery	RID28727	RID28727		Coronary/939, artery/948								
14997857.txt	calcium scores	RID28808	RID28808		calcium/955, scores/963								
14997857.txt	reported	RID45924	RID45924		reported/974								
14997857.txt	groups	RID5700	RID5700		groups/1040								
14997857.txt	first	RID5996	RID5996		first/1076								
14997857.txt	report	RID28487	RID28487		report/1085								
14997857.txt	coronary artery	RID35862	RID35862		coronary/1112, artery/1121								
14997857.txt	coronary artery	RID28727	RID28727		coronary/1112, artery/1121								
14997857.txt	calcium scores	RID28808	RID28808		calcium/1128, scores/1136								
14997857.txt	white	RID39151	RID39151		white/1158								
14997857.txt	computed tomography	RID10321	RID10321		computed/1252, tomography/1261								
