Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
11175472.txt	assess	RID36026	RID36026		assess/15								
11175472.txt	coronary artery	RID35862	RID35862		coronary/43, artery/52								
11175472.txt	coronary artery	RID28727	RID28727		coronary/43, artery/52								
11175472.txt	coronary artery calcification	RID50146	RID50146		coronary/43, artery/52, calcification/75								
11175472.txt	coronary calcification	RID50146	RID50146		coronary/43, calcification/75								
11175472.txt	artery	RID478	RID478		artery/52								
11175472.txt	calcification	RID5196	RID5196		calcification/75								
11175472.txt	computed tomography	RID10321	RID10321		computed/106, tomography/115								
11175472.txt	tomography	RID28840	RID28840		tomography/115								
11175472.txt	patients	RID49815	RID49815		patients/149								
11175472.txt	patients ages	RID13163	RID13163		patients/149, ages/159								
11175472.txt	ages	RID11854	RID11854		ages/159								
11175472.txt	angiography	RID10371	RID10371		angiography/216								
11175472.txt	chest	RID1243	RID1243		chest/239								
11175472.txt	chest pain	RID45774	RID45774		chest/239, pain/245								
11175472.txt	pain	RID28803	RID28803		pain/245								
11175472.txt	suggestive	RID39481	RID39481		suggestive/250								
11175472.txt	angiography	RID10371	RID10371		angiography/302								
11175472.txt	stenosis	RID5016	RID5016		stenosis/375								
11175472.txt	stenosis	RID5016	RID5016		stenosis/416								
11175472.txt	no	RID28475	RID28475		no/453								
11175472.txt	previous	RID5726	RID5726		previous/456								
11175472.txt	angiography	RID10371	RID10371		angiography/506								
11175472.txt	computed tomography	RID10321	RID10321		computed/547, tomography/556								
11175472.txt	tomography	RID28840	RID28840		tomography/556								
11175472.txt	chest	RID1243	RID1243		chest/574								
11175472.txt	coronary calcification	RID50146	RID50146		coronary/613, calcification/659								
11175472.txt	angiography	RID10371	RID10371		angiography/622								
11175472.txt	calcification	RID5196	RID5196		calcification/659								
11175472.txt	computed tomography	RID10321	RID10321		computed/699, tomography/708								
11175472.txt	tomography	RID28840	RID28840		tomography/708								
