Document	Matched Term	Code	Concept Name	Semantic Type	Annotations	Certainty	ContextualAspect	ContextualModality	Degree	Experiencer	Permanence	Polarity	Temporality
11175472.txt	assess	RID36026	RID36026		assess/14								
11175472.txt	coronary artery calcification	RID50146	RID50146		coronary/42, artery/51, calcification/74								
11175472.txt	computed tomography	RID10321	RID10321		computed/105, tomography/114								
11175472.txt	patients ages	RID13163	RID13163		patients/148, ages/158								
11175472.txt	angiography	RID10371	RID10371		angiography/215								
11175472.txt	chest pain	RID45774	RID45774		chest/238, pain/244								
11175472.txt	suggestive	RID39481	RID39481		suggestive/249								
11175472.txt	angiography	RID10371	RID10371		angiography/301								
11175472.txt	stenosis	RID5016	RID5016		stenosis/374								
11175472.txt	stenosis	RID5016	RID5016		stenosis/416								
11175472.txt	no	RID28475	RID28475		no/436								
11175472.txt	no	RID28475	RID28475		no/453								
11175472.txt	previous	RID5726	RID5726		previous/456								
11175472.txt	angiography	RID10371	RID10371		angiography/506								
11175472.txt	computed tomography	RID10321	RID10321		computed/545, tomography/554								
11175472.txt	chest	RID1243	RID1243		chest/572								
11175472.txt	angiography	RID10371	RID10371		angiography/620								
11175472.txt	calcification	RID5196	RID5196		calcification/657								
11175472.txt	computed tomography	RID10321	RID10321		computed/697, tomography/706								
11175472.txt	computed tomography	RID10321	RID10321		computed/754, tomography/763								
11175472.txt	lesions	RID3874	RID3874		lesions/817								
11175472.txt	lesions	RID34301	RID34301		lesions/817								
11175472.txt	lesions	RID38780	RID38780		lesions/817								
11175472.txt	lesions	RID39055	RID39055		lesions/817								
11175472.txt	angiography	RID10371	RID10371		angiography/837								
11175472.txt	negative	RID49897	RID49897		negative/886								
11175472.txt	positive	RID49898	RID49898		positive/899								
11175472.txt	mean	RID39224	RID39224		mean/963								
11175472.txt	calcification	RID5196	RID5196		calcification/968								
11175472.txt	patients	RID49815	RID49815		patients/1003								
11175472.txt	severe	RID5673	RID5673		severe/1017								
11175472.txt	lesions	RID3874	RID3874		lesions/1033								
11175472.txt	lesions	RID34301	RID34301		lesions/1033								
11175472.txt	lesions	RID38780	RID38780		lesions/1033								
11175472.txt	lesions	RID39055	RID39055		lesions/1033								
11175472.txt	vessels	RID4	RID4		vessels/1076								
11175472.txt	vessels	RID39545	RID39545		vessels/1076								
11175472.txt	patients	RID49815	RID49815		patients/1107								
11175472.txt	no	RID28475	RID28475		no/1121								
11175472.txt	coronary artery	RID35862	RID35862		coronary/1171, artery/1180								
11175472.txt	coronary artery	RID28727	RID28727		coronary/1171, artery/1180								
11175472.txt	lesions	RID3874	RID3874		lesions/1187								
11175472.txt	lesions	RID34301	RID34301		lesions/1187								
11175472.txt	lesions	RID38780	RID38780		lesions/1187								
11175472.txt	lesions	RID39055	RID39055		lesions/1187								
11175472.txt	computed tomography	RID10321	RID10321		computed/1225, tomography/1234								
11175472.txt	coronary artery calcification	RID50146	RID50146		coronary/1298, artery/1307, calcification/1314								
11175472.txt	noninvasive	RID5681	RID5681		noninvasive/1387								
11175472.txt	diagnosis	RID10394	RID10394		diagnosis/1399								
11175472.txt	stenosis	RID5016	RID5016		stenosis/1428								
11175472.txt	artery coronary calcification	RID50146	RID50146		artery/1458, coronary/1474, calcification/1493								
11175472.txt	computed tomography	RID10321	RID10321		computed/1508, tomography/1517								
